Bulbasaur; A squat, dinosaur-like creature with smooth, light green skin covered in darker green spots. A thick, round seed bulb sits firmly on its back, looking swollen and ready to sprout. Its big eyes gleam with a curious yet gentle expression, framed by small pointed ears. Sturdy legs end in three sharp claws that grip the earth as it moves. Its overall form blends reptilian and plant traits, with a subtle waxy texture covering the seed and skin. Primary type is grass. Secondary type is poison. Abilities 0 is Overgrow. Abilities 1 is nan. Classification is Seed Pokémon. Description is There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.
Ivysaur; A sturdier evolution with deeper green skin and larger darker patches giving it a rugged, battle-ready look. The bulb on its back is swollen and blooming, showing thick leaves and tight flower buds. Its eyes sharpen, reflecting a more aggressive stance, ears now slightly more pointed and alert. The limbs are powerful and muscular, supporting the increasing weight of the plant growing on its back. Its skin texture is rougher and more matte, with veins faintly visible beneath the surface. "Primary type is grass. Secondary type is poison. Abilities 0 is Overgrow. Abilities 1 is nan. Classification is Seed Pokémon. Description is When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
Venusaur; Massive and imposing, with thick, rough, dark green skin that seems like tree bark. On its back blooms a huge, vibrant flower with bright pink petals and a large, yellow center that glows faintly in sunlight. Its face is broad and flat, eyes narrowed with a fierce, wise glare, marked by warts and wrinkles. Strong, stout legs end in huge claws that dig into the ground as it moves slowly but powerfully. The texture of its back is a mix of leaf veins and bark-like grooves, giving a natural fortress vibe. Primary type is grass. Secondary type is poison. Abilities 0 is Overgrow. Abilities 1 is nan. Classification is Seed Pokémon. Description is Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
Charmander; Small and agile with bright orange, smooth skin that glows warmly in the dark. Its tail has a flickering flame at the tip, bright and lively, a clear indicator of its life force. Big, round eyes sparkle with playful curiosity and a hint of mischief. The body is lean with delicate claws and a slightly rounded snout that makes it look young and energetic. Its skin has a slight sheen, almost like polished enamel, highlighting the fiery energy within. "Primary type is fire. Secondary type is nan. Abilities 0 is Blaze. Abilities 1 is nan. Classification is Lizard Pokémon. Description is It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail."
Charmeleon; Sleeker and fiercer, with deeper reddish-orange scales that have a rougher, sandpaper-like texture. Its tail flame burns hotter and bigger, crackling with embers and sparks. The head is angular with a prominent snout and fierce yellow eyes that glare with aggression. Sharp claws and muscular limbs suggest a predator built for combat and survival. Scaly ridges run along its back, enhancing its savage, wild appearance. "Primary type is fire. Secondary type is nan. Abilities 0 is Blaze. Abilities 1 is nan. Classification is Flame Pokémon. Description is It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws."
Charizard; Huge and dragon-like, with vibrant orange scales that shine under the sun. Massive wings stretch wide with a leathery, slightly translucent membrane tinged with blue. The tail flame roars fiercely, burning hotter than ever, emitting sparks and heat waves. Its head is crowned with two sharp horns, eyes burning with fiery intensity and intelligence. Its body is muscular and robust, with clawed feet and a tail thick enough to wield as a weapon, textured like molten rock fused with hardened scales. Primary type is fire. Secondary type is flying. Abilities 0 is Blaze. Abilities 1 is nan. Classification is Flame Pokémon. Description is It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.
Squirtle; A small, turtle-like Pokémon with smooth, baby blue skin that glistens slightly when wet. Its round shell is hard, brown on top with cream edges, glossy and polished like a shield. Large, expressive eyes that give off a playful and curious vibe. Short legs with webbed feet and tiny claws, perfect for quick swimming. The skin has a slightly rubbery feel, and the tail curls up in a spiral resembling a water droplet. "Primary type is water. Secondary type is nan. Abilities 0 is Torrent. Abilities 1 is nan. Classification is Tiny Turtle Pokémon. Description is When it retracts its long neck into its shell, it squirts out water with vigorous force."
Wartortle; Slightly bigger and tougher, with darker blue skin and a more angular face marked by a cunning smile. The shell is larger and ridged, with moss or algae sometimes clinging to it, showing age and wisdom. Its ears are long and fluffy with white fur, flowing like soft waves around its head. The tail is bushy and curled, thick and powerful like a fox’s tail, giving it balance and flair. The skin texture is a bit rougher, with scales more defined and water-resistant. "Primary type is water. Secondary type is nan. Abilities 0 is Torrent. Abilities 1 is nan. Classification is Turtle Pokémon. Description is It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old."
Blastoise; Huge and bulky, covered in dark blue, tough skin with a rough, almost armored texture. Its enormous shell is thick and reinforced, colored in shades of brown and cream with two massive water cannons protruding from the shoulders. Its face is stern and battle-hardened with narrow eyes and a strong jaw. Thick limbs end in heavy, clawed feet capable of crushing enemies. The water cannons look mechanical and precise, built to blast water with tremendous power. "Primary type is water. Secondary type is nan. Abilities 0 is Torrent. Abilities 1 is nan. Classification is Shellfish Pokémon. Description is It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."
Caterpie; A small, worm-like creature with a segmented, bright green body that looks soft and slightly fuzzy. Big, round eyes and a small red antenna with a yellow tip on its head, twitching as a sensory organ. Each segment has tiny, short legs that barely lift it off the ground. The skin is smooth but appears velvety, almost like a soft moss covering. Its body shape is elongated and flexible, perfect for crawling through leaves and grass unnoticed. "Primary type is bug. Secondary type is nan. Abilities 0 is Shield Dust. Abilities 1 is nan. Classification is Worm Pokémon. Description is For protection, it releases a horrible stench from the antenna on its head to drive away enemies."
